shot,weight,sim_to_reference,sim_to_own_w0
weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.0,0.3723,1.0000,0.2699
0.1,0.4085,0.7849,0.3037
0.2,0.4859,0.6704,0.3965
0.3,0.6163,0.5432,0.5440
0.4,0.7054,0.4446,0.6682
0.5,0.7754,0.4048,0.7436
0.6,0.8156,0.3961,0.7979
0.8,0.8526,0.3808,0.8445
1.0,0.8678,0.3775,0.8790
