shot,weight,sim_to_reference,sim_to_own_w0
weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.0,0.1838,1.0000,0.2409
0.1,0.2099,0.6779,0.2625
0.2,0.3023,0.4621,0.3479
0.3,0.3940,0.2954,0.4124
0.4,0.6201,0.2262,0.6369
0.5,0.7138,0.2101,0.7289
0.6,0.7793,0.2065,0.7585
0.8,0.8136,0.1912,0.8432
1.0,0.7939,0.1934,0.8159
