shot,weight,sim_to_reference,sim_to_own_w0
weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.0,0.2062,1.0000,0.2811
0.1,0.2166,0.8116,0.2896
0.2,0.2621,0.6598,0.3383
0.3,0.3121,0.5554,0.3823
0.4,0.3762,0.4647,0.4393
0.5,0.4520,0.4194,0.4737
0.6,0.5229,0.3450,0.6160
0.8,0.5392,0.3224,0.7176
1.0,0.5933,0.3129,0.7780
