shot,weight,sim_to_reference,sim_to_own_w0
weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.0,0.4504,1.0000,0.3253
0.1,0.5659,0.8286,0.4218
0.2,0.6472,0.7353,0.5092
0.3,0.7435,0.6394,0.6037
0.4,0.8510,0.5579,0.7701
0.5,0.9397,0.4973,0.9247
0.6,0.9590,0.4737,0.9565
0.8,0.9636,0.4692,0.9699
1.0,0.9630,0.4635,0.9704
