shot,weight,sim_to_reference,sim_to_own_w0
weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.0,0.9068,1.0000,0.8836
0.1,0.9271,0.9446,0.9056
0.2,0.9386,0.9270,0.9209
0.3,0.9523,0.9122,0.9399
0.4,0.9537,0.9112,0.9453
0.5,0.9498,0.9053,0.9391
0.6,0.9518,0.9011,0.9489
0.8,0.9604,0.9005,0.9623
1.0,0.9549,0.8975,0.9590
