shot,weight,sim_to_reference,sim_to_own_w0
weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.0,0.7929,1.0000,0.6906
0.1,0.8779,0.8779,0.8166
0.2,0.9256,0.8384,0.9036
0.3,0.9349,0.8272,0.9185
0.4,0.9391,0.7929,0.9311
0.5,0.9440,0.7875,0.9437
0.6,0.9480,0.7738,0.9556
0.8,0.9167,0.7531,0.9388
1.0,0.9104,0.7461,0.9577
