shot,weight,sim_to_reference,sim_to_own_w0
weight,mean_sim_to_reference,mean_sim_to_own_w0,mean_inter_shot_sim
0.0,0.2905,1.0000,0.4798
0.1,0.3156,0.8409,0.5206
0.2,0.4238,0.7374,0.5129
0.3,0.7285,0.5179,0.6663
0.4,0.8125,0.4545,0.7905
0.5,0.8835,0.3828,0.8737
0.6,0.8995,0.3754,0.9002
0.8,0.9254,0.3304,0.9482
1.0,0.9339,0.3061,0.9523
